"filename", "language", "Python", "pip requirements", "YAML", "Ignore", "Docker", "comment", "blank", "total"
"c:\Users\heath\HydroViz\hydroviz_backend\.dockerignore", "Ignore", 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\heath\HydroViz\hydroviz_backend\Dockerfile", "Docker", 0, 0, 0, 0, 9, 0, 5, 14
"c:\Users\heath\HydroViz\hydroviz_backend\docker-compose.yml", "YAML", 0, 0, 25, 0, 0, 0, 2, 27
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\admin.py", "Python", 30, 0, 0, 0, 0, 0, 6, 36
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\apps.py", "Python", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\migrations\0001_initial.py", "Python", 147, 0, 0, 0, 0, 1, 7, 155
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\models\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\models\physical_models.py", "Python", 85, 0, 0, 0, 0, 0, 15, 100
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\models\simulation_models.py", "Python", 52, 0, 0, 0, 0, 0, 10, 62
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\serializers\__init__.py", "Python", 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\serializers\physical_serializers.py", "Python", 44, 0, 0, 0, 0, 0, 10, 54
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\serializers\simulation_serializers.py", "Python", 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\services\simulation_engine.py", "Python", 61, 0, 0, 0, 0, 8, 6, 75
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\urls.py", "Python", 16, 0, 0, 0, 0, 4, 4, 24
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\views\__init__.py", "Python", 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\views\physical_views.py", "Python", 36, 0, 0, 0, 0, 0, 9, 45
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\views\simulation_views.py", "Python", 44, 0, 0, 0, 0, 2, 12, 58
"c:\Users\heath\HydroViz\hydroviz_backend\hydroviz\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\heath\HydroViz\hydroviz_backend\hydroviz\asgi.py", "Python", 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\heath\HydroViz\hydroviz_backend\hydroviz\settings.py", "Python", 91, 0, 0, 0, 0, 12, 17, 120
"c:\Users\heath\HydroViz\hydroviz_backend\hydroviz\urls.py", "Python", 27, 0, 0, 0, 0, 7, 5, 39
"c:\Users\heath\HydroViz\hydroviz_backend\hydroviz\wsgi.py", "Python", 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\heath\HydroViz\hydroviz_backend\manage.py", "Python", 17, 0, 0, 0, 0, 1, 4, 22
"c:\Users\heath\HydroViz\hydroviz_backend\requirements.txt", "pip requirements", 0, 8, 0, 0, 0, 0, 0, 8
"Total", "-", 758, 8, 25, 10, 9, 36, 142, 988