"filename", "language", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\admin.py", "Python", 0, 0, 6, 0, 6
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\models\physical_models.py", "Python", -2, 0, 12, 4, 14
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\models\simulation_models.py", "Python", -4, 0, 7, 0, 3
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\serializers\physical_serializers.py", "Python", 0, 0, 12, -1, 11
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\serializers\simulation_serializers.py", "Python", 0, 0, 7, 0, 7
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\services\simulation_engine.py", "Python", 127, 0, 4, 18, 149
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\services\visualization_helpers.py", "Python", 134, 0, 5, 27, 166
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\urls.py", "Python", 0, 0, 3, 0, 3
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\views\physical_views.py", "Python", 0, 0, 5, 0, 5
"c:\Users\heath\HydroViz\hydroviz_backend\hydro_sim\views\simulation_views.py", "Python", 83, 0, 11, 15, 109
"c:\Users\heath\HydroViz\hydroviz_backend\hydroviz\settings.py", "Python", 0, 0, 6, 0, 6
"c:\Users\heath\HydroViz\hydroviz_backend\hydroviz\urls.py", "Python", 0, 0, 1, 0, 1
"c:\Users\heath\HydroViz\hydroviz_backend\requirements.txt", "pip requirements", 0, 3, 0, 0, 3
"Total", "-", 338, 3, 79, 63, 483